Question,Answer
"Есть люди, в которых живёт Бог; есть люди, в которых живёт Дьявол; а есть люди, в которых живут только глисты.","Есть люди, в которых живёт Бог; есть люди, в которых живёт Дьявол; а есть люди, в которых живут только глисты."
Одиночество как состояние не поддается лечению.,Одиночество как состояние не поддается лечению.
"Ты выбрался из грязи в князи,
Но, быстро князем становясь,
Не позабудь, чтобы не сглазить,
Не вечны князи - вечна грязь.","Ты выбрался из грязи в князи,
Но, быстро князем становясь,
Не позабудь, чтобы не сглазить,
Не вечны князи - вечна грязь."
"И с другом и с врагом ты должен быть хорош!
Кто по натуре добр, в том злобы не найдешь.
Обидишь друга — наживешь врага ты
Врага обнимешь — друга наживешь.","И с другом и с врагом ты должен быть хорош!
Кто по натуре добр, в том злобы не найдешь.
Обидишь друга — наживешь врага ты
Врага обнимешь — друга наживешь."
"Одиночество — это когда в доме есть телефон, а звонит будильник.","Одиночество — это когда в доме есть телефон, а звонит будильник."
"Люди забираются в скорые поезда, но они уже сами не понимают, чего ищут. Поэтому они не знают покоя и бросаются то в одну сторону, то в другую... И все напрасно...","Люди забираются в скорые поезда, но они уже сами не понимают, чего ищут. Поэтому они не знают покоя и бросаются то в одну сторону, то в другую... И все напрасно..."
Только о двух вещах мы будем жалеть на смертном одре — что мало любили и мало путешествовали.,Только о двух вещах мы будем жалеть на смертном одре — что мало любили и мало путешествовали.
Чем я занимаюсь? Симулирую здоровье.,Чем я занимаюсь? Симулирую здоровье.
"Не делай другому того, чего себе не пожелаешь.","Не делай другому того, чего себе не пожелаешь."
Кирпич ни с того ни с сего никому и никогда на голову не свалится.,Кирпич ни с того ни с сего никому и никогда на голову не свалится.
"Мы в ответе за тех, кого приручили...","Мы в ответе за тех, кого приручили..."
"Страшно, когда тебе внутри восемнадцать, когда восхищаешься прекрасной музыкой, стихами, живописью, а тебе уже пора, ты ничего не успела, а только начинаешь жить!","Страшно, когда тебе внутри восемнадцать, когда восхищаешься прекрасной музыкой, стихами, живописью, а тебе уже пора, ты ничего не успела, а только начинаешь жить!"
"Мне попадаются не лица, а личное оскорбление.","Мне попадаются не лица, а личное оскорбление."
"Зачем же гнаться по следам того, что уже окончено?","Зачем же гнаться по следам того, что уже окончено?"
"Я ведь еще помню порядочных людей...  Боже, какая я старая!","Я ведь еще помню порядочных людей...  Боже, какая я старая!"
"Тщеславные люди глухи ко всему, кроме похвал.","Тщеславные люди глухи ко всему, кроме похвал."
"Если вы подберете на улице дворовую собаку и накормите ее, она никогда вас не укусит. В этом и состоит разница между собакой и человеком.","Если вы подберете на улице дворовую собаку и накормите ее, она никогда вас не укусит. В этом и состоит разница между собакой и человеком."
"Лучше впасть в нищету, голодать или красть,
Чем в число блюдолизов презренных попасть,
Лучше кости глодать, чем прельститься страстям,
За столом у мерзавцев, имеющих власть.","Лучше впасть в нищету, голодать или красть,
Чем в число блюдолизов презренных попасть,
Лучше кости глодать, чем прельститься страстям,
За столом у мерзавцев, имеющих власть."
"Кто битым жизнью был, тот большего добьется.
Пуд соли съевший, выше ценит мед.
Кто слезы лил, тот искренней смеется.
Кто умирал, тот знает, что живет...","Кто битым жизнью был, тот большего добьется.
Пуд соли съевший, выше ценит мед.
Кто слезы лил, тот искренней смеется.
Кто умирал, тот знает, что живет..."
Зорко одно лишь сердце. Самого главного глазами не увидишь.,Зорко одно лишь сердце. Самого главного глазами не увидишь.
"Жизнь — как вождение велосипеда. Чтобы сохранить равновесие, ты должен двигаться.","Жизнь — как вождение велосипеда. Чтобы сохранить равновесие, ты должен двигаться."
"Семья заменяет все. Поэтому, прежде чем ее завести, стоит подумать, что тебе важнее: все или семья.","Семья заменяет все. Поэтому, прежде чем ее завести, стоит подумать, что тебе важнее: все или семья."
Жизнь — это небольшая прогулка перед вечным сном.,Жизнь — это небольшая прогулка перед вечным сном.
"Тот, кто, дожив до сорока лет, вызывает лишь неприязнь, - конченый человек.","Тот, кто, дожив до сорока лет, вызывает лишь неприязнь, - конченый человек."
"Того, кто не задумывается о далеких трудностях, непременно поджидают близкие неприятности.","Того, кто не задумывается о далеких трудностях, непременно поджидают близкие неприятности."
"Некто спросил: ""Правильно ли говорят, что за зло нужно платить добром?"" Учитель сказал: ""А чем же тогда платить за добро? За зло надо платить по справедливости, а за добро — добром"".","Некто спросил: ""Правильно ли говорят, что за зло нужно платить добром?"" Учитель сказал: ""А чем же тогда платить за добро? За зло надо платить по справедливости, а за добро — добром""."
"Сказка - это когда женился на лягушке, а она оказалась царевной. А быль - это когда наоборот.","Сказка - это когда женился на лягушке, а она оказалась царевной. А быль - это когда наоборот."
Спутник славы - одиночество.,Спутник славы - одиночество.
Отпускайте идиотов и клоунов из своей жизни. Цирк должен гастролировать.,Отпускайте идиотов и клоунов из своей жизни. Цирк должен гастролировать.
"Старость - это время, когда свечи на именинном пироге обходятся дороже самого пирога, а половина мочи идет на анализы.","Старость - это время, когда свечи на именинном пироге обходятся дороже самого пирога, а половина мочи идет на анализы."
"Чтоб мудро жизнь прожить, знать надобно немало,
Два важных правила запомни для начала:
Ты лучше голодай, чем что попало есть,
И лучше будь один, чем вместе с кем попало.","Чтоб мудро жизнь прожить, знать надобно немало,
Два важных правила запомни для начала:
Ты лучше голодай, чем что попало есть,
И лучше будь один, чем вместе с кем попало."
"Все приятное в этом мире либо вредно, либо аморально, либо ведет к ожирению.","Все приятное в этом мире либо вредно, либо аморально, либо ведет к ожирению."
"Как мы можем знать, что такое смерть, когда мы не знаем еще, что такое жизнь?","Как мы можем знать, что такое смерть, когда мы не знаем еще, что такое жизнь?"
Жизнь — это затяжной прыжок из п...ды в могилу.,Жизнь — это затяжной прыжок из п...ды в могилу.
У меня хватило ума глупо прожить жизнь.,У меня хватило ума глупо прожить жизнь.
"В древности люди учились для того, чтобы совершенствовать себя. Нынче учатся для того, чтобы удивить других.","В древности люди учились для того, чтобы совершенствовать себя. Нынче учатся для того, чтобы удивить других."
Правду говорить легко и приятно.,Правду говорить легко и приятно.
"Если ты хочешь, чтобы кто-то остался в твоей жизни, - никогда не относись к нему равнодушно.","Если ты хочешь, чтобы кто-то остался в твоей жизни, - никогда не относись к нему равнодушно."
"Толстой сказал, что смерти нет, а есть любовь и память сердца. Память сердца так мучительна, лучше бы ее не было... Лучше бы память навсегда убить.","Толстой сказал, что смерти нет, а есть любовь и память сердца. Память сердца так мучительна, лучше бы ее не было... Лучше бы память навсегда убить."
"Я не понимаю, как можно иметь дело с человеком, которому нельзя доверять? Если в повозке нет оси, как можно на ней ездить?","Я не понимаю, как можно иметь дело с человеком, которому нельзя доверять? Если в повозке нет оси, как можно на ней ездить?"
"Я как старая пальма на вокзале - никому не нужна, а выбросить жалко.","Я как старая пальма на вокзале - никому не нужна, а выбросить жалко."
"Старость - это когда беспокоят не плохие сны, а плохая действительность.","Старость - это когда беспокоят не плохие сны, а плохая действительность."
"Бог мой, как прошмыгнула жизнь, я даже никогда не слышала, как поют соловьи.","Бог мой, как прошмыгнула жизнь, я даже никогда не слышала, как поют соловьи."
"Нас приучили к одноклеточным словам, куцым мыслям, играй после этого Островского!","Нас приучили к одноклеточным словам, куцым мыслям, играй после этого Островского!"
"Если вы хотите иметь то, что никогда не имели, — начните делать то, что никогда не делали.","Если вы хотите иметь то, что никогда не имели, — начните делать то, что никогда не делали."
"Никогда и ничего не просите! Никогда и ничего, и в особенности у тех, кто сильнее вас. Сами предложат и сами всё дадут!","Никогда и ничего не просите! Никогда и ничего, и в особенности у тех, кто сильнее вас. Сами предложат и сами всё дадут!"
"Стареть скучно, но это единственный способ жить долго.","Стареть скучно, но это единственный способ жить долго."
Счастье — это когда у тебя все дома!,Счастье — это когда у тебя все дома!
"В этом мире неверном не будь дураком:
Полагаться не вздумай на тех, кто кругом.
Трезвым оком взгляни на ближайшего друга -
Друг, возможно, окажется злейшим врагом.","В этом мире неверном не будь дураком:
Полагаться не вздумай на тех, кто кругом.
Трезвым оком взгляни на ближайшего друга -
Друг, возможно, окажется злейшим врагом."
"Не беспокойся о том, что у тебя нет высокого чина. Беспокойся о том, достоин ли ты того, чтобы иметь высокий чин. Не беспокойся о том, что тебя не знают. Беспокойся о том, достоин ли ты того, чтобы тебя знали.","Не беспокойся о том, что у тебя нет высокого чина. Беспокойся о том, достоин ли ты того, чтобы иметь высокий чин. Не беспокойся о том, что тебя не знают. Беспокойся о том, достоин ли ты того, чтобы тебя знали."
"Чтобы привлечь что-то в свою жизнь, представь, что оно там уже есть.","Чтобы привлечь что-то в свою жизнь, представь, что оно там уже есть."
Посылать людей на войну необученными — значит предавать их.,Посылать людей на войну необученными — значит предавать их.
"Не поговорить с человеком, который достоин разговора, значит потерять человека. А говорить с человеком, который разговора не достоин, — значит терять слова. Мудрый не теряет ни людей, ни слов.","Не поговорить с человеком, который достоин разговора, значит потерять человека. А говорить с человеком, который разговора не достоин, — значит терять слова. Мудрый не теряет ни людей, ни слов."
"Всю жизнь я страшно боюсь глупых. Особенно баб. Никогда не знаешь, как с ними разговаривать, не скатываясь на их уровень.","Всю жизнь я страшно боюсь глупых. Особенно баб. Никогда не знаешь, как с ними разговаривать, не скатываясь на их уровень."
"Жизнь слишком коротка, чтобы тратить ее на диеты, жадных мужчин и плохое настроение.","Жизнь слишком коротка, чтобы тратить ее на диеты, жадных мужчин и плохое настроение."
"Да, человек смертен, но это было бы еще полбеды. Плохо то, что он иногда внезапно смертен, вот в чем фокус!","Да, человек смертен, но это было бы еще полбеды. Плохо то, что он иногда внезапно смертен, вот в чем фокус!"
"На голодный желудок русский человек ничего делать и думать не хочет, а на сытый — не может.","На голодный желудок русский человек ничего делать и думать не хочет, а на сытый — не может."
"Чтобы мы видели, сколько мы переедаем, наш живот расположен на той же стороне, что и глаза.","Чтобы мы видели, сколько мы переедаем, наш живот расположен на той же стороне, что и глаза."
"Проклятый девятнадцатый век, проклятое воспитание: не могу стоять, когда мужчины сидят.","Проклятый девятнадцатый век, проклятое воспитание: не могу стоять, когда мужчины сидят."
"Танцуй так, как будто на тебя никто не смотрит. Пой, как будто тебя никто не слышит. Люби так, как будто тебя никогда не предавали, и живи так, как будто земля — это рай.","Танцуй так, как будто на тебя никто не смотрит. Пой, как будто тебя никто не слышит. Люби так, как будто тебя никогда не предавали, и живи так, как будто земля — это рай."
Глаза слепы. Искать надо сердцем.,Глаза слепы. Искать надо сердцем.
"Если есть у тебя для жилья закуток —
В наше подлое время — и хлеба кусок,
Если ты никому не слуга, не хозяин —
Счастлив ты и воистину духом высок.","Если есть у тебя для жилья закуток —
В наше подлое время — и хлеба кусок,
Если ты никому не слуга, не хозяин —
Счастлив ты и воистину духом высок."
"Не удерживай то, что уходит, и не отталкивай то, что приходит. И тогда счастье само найдет тебя.","Не удерживай то, что уходит, и не отталкивай то, что приходит. И тогда счастье само найдет тебя."
"Себя судить куда труднее, чем других. Если ты сумеешь правильно судить себя, значит, ты поистине мудр.","Себя судить куда труднее, чем других. Если ты сумеешь правильно судить себя, значит, ты поистине мудр."
"Там хорошо, где нас нет.","Там хорошо, где нас нет."
"Когда уходите на пять минут,
Не забывайте оставлять тепло в ладонях.
В ладонях тех, которые вас ждут,
В ладонях тех, которые вас помнят...","Когда уходите на пять минут,
Не забывайте оставлять тепло в ладонях.
В ладонях тех, которые вас ждут,
В ладонях тех, которые вас помнят..."
"Когда я умру, похороните меня и на памятнике напишите: ""Умерла от отвращения"".","Когда я умру, похороните меня и на памятнике напишите: ""Умерла от отвращения""."
"Склероз нельзя вылечить, но о нем можно забыть.","Склероз нельзя вылечить, но о нем можно забыть."
"Жизнь проходит и не кланяется, как сердитая соседка.","Жизнь проходит и не кланяется, как сердитая соседка."
"Если больной очень хочет жить, врачи бессильны.","Если больной очень хочет жить, врачи бессильны."
"Известно, в мире все лишь суета сует:
Будь весел, не горюй, стоит на этом свет.
Что было, то прошло, что будет — неизвестно,
Так не тужи о том, чего сегодня нет.","Известно, в мире все лишь суета сует:
Будь весел, не горюй, стоит на этом свет.
Что было, то прошло, что будет — неизвестно,
Так не тужи о том, чего сегодня нет."
"Жить надо так, чтобы тебя помнили и сволочи.","Жить надо так, чтобы тебя помнили и сволочи."
Мне всегда было непонятно - люди стыдятся бедности и не стыдятся богатства.,Мне всегда было непонятно - люди стыдятся бедности и не стыдятся богатства.
Сняться в плохом фильме - все равно что плюнуть в вечность.,Сняться в плохом фильме - все равно что плюнуть в вечность.
"Выберите себе работу по душе, и вам не придется работать ни одного дня в своей жизни.","Выберите себе работу по душе, и вам не придется работать ни одного дня в своей жизни."
"Если у тебя есть человек, которому можно рассказать сны, ты не имеешь права считать себя одиноким...","Если у тебя есть человек, которому можно рассказать сны, ты не имеешь права считать себя одиноким..."
