Question,Answer
"Перед погонщицей — своей судьбой — не трусь.
Не так уж долго ей владеть тобой, не трусь.
Что в прошлом кануло, все провожай улыбкой,
И пусть грядущее грозит бедой, не трусь.","Перед погонщицей — своей судьбой — не трусь.
Не так уж долго ей владеть тобой, не трусь.
Что в прошлом кануло, все провожай улыбкой,
И пусть грядущее грозит бедой, не трусь."
"Целью школы всегда должно быть воспитание гармоничной личности, а не специалиста.","Целью школы всегда должно быть воспитание гармоничной личности, а не специалиста."
"Никогда не возвращайтесь туда, где вы были счастливы. Пока вы не делаете этого, всё остаётся живым в вашей памяти. Если вы оказываетесь там снова, всё разрушается.","Никогда не возвращайтесь туда, где вы были счастливы. Пока вы не делаете этого, всё остаётся живым в вашей памяти. Если вы оказываетесь там снова, всё разрушается."
"Лучше иметь старые подержанные бриллианты, чем не иметь никаких.","Лучше иметь старые подержанные бриллианты, чем не иметь никаких."
Если в мире все бессмысленно - что мешает выдумать какой-нибудь смысл?,Если в мире все бессмысленно - что мешает выдумать какой-нибудь смысл?
"Не приходи в уныние при расставаниях. Прощание необходимо для того, чтобы вы смогли встретиться вновь. А новая встреча, спустя мгновение или многие жизни, несомненна для тех, кто является друзьями.","Не приходи в уныние при расставаниях. Прощание необходимо для того, чтобы вы смогли встретиться вновь. А новая встреча, спустя мгновение или многие жизни, несомненна для тех, кто является друзьями."
"Самый чудесный город это тот, где человек счастлив.","Самый чудесный город это тот, где человек счастлив."
"Случайностей нет только в хорошей литературе, в жизни же они бывают на каждом шагу, и притом — преглупые.","Случайностей нет только в хорошей литературе, в жизни же они бывают на каждом шагу, и притом — преглупые."
Оптимизм — это недостаток информации.,Оптимизм — это недостаток информации.
Собаки никогда не кусали меня. Только люди.,Собаки никогда не кусали меня. Только люди.
"Проблема не в том, что мы не можем обеспечить бедных, а в том, что мы не можем удовлетворить запросы богатых.","Проблема не в том, что мы не можем обеспечить бедных, а в том, что мы не можем удовлетворить запросы богатых."
"Я признаюсь вам, как на духу:
Такова вся спортивная жизнь,
Лишь мгновение ты наверху -
И стремительно падаешь вниз.","Я признаюсь вам, как на духу:
Такова вся спортивная жизнь,
Лишь мгновение ты наверху -
И стремительно падаешь вниз."
"Брак — не лучший способ сохранить любовь, но любовь — лучший способ сохранить брак.","Брак — не лучший способ сохранить любовь, но любовь — лучший способ сохранить брак."
Видеть несправедливость и молчать — это значит самому участвовать в ней.,Видеть несправедливость и молчать — это значит самому участвовать в ней.
Я никогда не думаю о будущем. Оно приходит само достаточно скоро.,Я никогда не думаю о будущем. Оно приходит само достаточно скоро.
Человек никогда не может закалиться. Он может только ко многому привыкнуть.,Человек никогда не может закалиться. Он может только ко многому привыкнуть.
"Старт был неплох, но ни у кого не получалось выигрывать всю жизнь.","Старт был неплох, но ни у кого не получалось выигрывать всю жизнь."
"Образование — это то, что остаётся после того, как забывается всё выученное в школе.","Образование — это то, что остаётся после того, как забывается всё выученное в школе."
"Ты не можешь ничего поделать с окружающей тебя тупостью! Но не волнуйся напрасно, ведь камень, брошенный в болото, не производит кругов.","Ты не можешь ничего поделать с окружающей тебя тупостью! Но не волнуйся напрасно, ведь камень, брошенный в болото, не производит кругов."
"Жизнь — это просто куча всякой фигни, которая происходит.","Жизнь — это просто куча всякой фигни, которая происходит."
"Современные проблемы не могут быть решены, если мы будем мыслить так же, как мы мыслили, когда их создавали.","Современные проблемы не могут быть решены, если мы будем мыслить так же, как мы мыслили, когда их создавали."
"Хорошо, что у людей еще остается много важных мелочей, которые приковывают их к жизни, защищают от нее. А вот одиночество — настоящее одиночество, без всяких иллюзий — наступает перед безумием или самоубийством.","Хорошо, что у людей еще остается много важных мелочей, которые приковывают их к жизни, защищают от нее. А вот одиночество — настоящее одиночество, без всяких иллюзий — наступает перед безумием или самоубийством."
"Я счастлив: не безумен и не слеп,
Просить судьбу мне не о чем.
И все же.
Пусть будет на земле дешевле хлеб,
А человеческая жизнь дороже.","Я счастлив: не безумен и не слеп,
Просить судьбу мне не о чем.
И все же.
Пусть будет на земле дешевле хлеб,
А человеческая жизнь дороже."
Цель жизни — самовыражение. Проявить во всей полноте свою сущность - вот для чего мы живем. А в наш век люди стали бояться самих себя.,Цель жизни — самовыражение. Проявить во всей полноте свою сущность - вот для чего мы живем. А в наш век люди стали бояться самих себя.
"Мы все свободны поступать так, как мы того захотим.","Мы все свободны поступать так, как мы того захотим."
"Однажды я провел в размышлениях целый день без еды и целую ночь без сна, но я ничего не добился. Было бы лучше посвятить то время учению.","Однажды я провел в размышлениях целый день без еды и целую ночь без сна, но я ничего не добился. Было бы лучше посвятить то время учению."
"Если ты не можешь изменить мир, измени отношение к этому миру.","Если ты не можешь изменить мир, измени отношение к этому миру."
"Жизнь не обязана давать нам то, чего мы ждём. Надо брать то, что она даёт, и быть благодарным уже за то, что это так, а не хуже.","Жизнь не обязана давать нам то, чего мы ждём. Надо брать то, что она даёт, и быть благодарным уже за то, что это так, а не хуже."
"Когда человек в отчаянии, он легче идёт навстречу приключению.","Когда человек в отчаянии, он легче идёт навстречу приключению."
"Благо — не всякая жизнь, а жизнь хорошая.","Благо — не всякая жизнь, а жизнь хорошая."
"Не говори своему другу того, что не должен знать твой враг.","Не говори своему другу того, что не должен знать твой враг."
Всегда живи настоящим.,Всегда живи настоящим.
"Одиночество — это когда в доме есть телефон, а звонит будильник.","Одиночество — это когда в доме есть телефон, а звонит будильник."
"Самое худшее, когда нужно ждать и не можешь ничего сделать. От этого можно сойти с ума.","Самое худшее, когда нужно ждать и не можешь ничего сделать. От этого можно сойти с ума."
Люди в древности не любили много говорить. Они считали позором для себя не поспеть за собственными словами.,Люди в древности не любили много говорить. Они считали позором для себя не поспеть за собственными словами.
"Люди забираются в скорые поезда, но они уже сами не понимают, чего ищут. Поэтому они не знают покоя и бросаются то в одну сторону, то в другую... И все напрасно...","Люди забираются в скорые поезда, но они уже сами не понимают, чего ищут. Поэтому они не знают покоя и бросаются то в одну сторону, то в другую... И все напрасно..."
"В этом замкнутом круге — крути не крути -
Не удастся конца и начала найти.
Наша роль в этом мире — прийти и уйти.
Кто нам скажет о цели, о смысле пути?","В этом замкнутом круге — крути не крути -
Не удастся конца и начала найти.
Наша роль в этом мире — прийти и уйти.
Кто нам скажет о цели, о смысле пути?"
"Вам знакомо выражение ""выше головы не прыгнешь""? Это заблуждение. Человек может все.","Вам знакомо выражение ""выше головы не прыгнешь""? Это заблуждение. Человек может все."
"Благородный не стремится есть досыта и жить богато. Он поспешает в делах, но медлит в речах. Общаясь с людьми добродетельными, он исправляет себя. Вот о таком человеке можно сказать, что он предан учению.","Благородный не стремится есть досыта и жить богато. Он поспешает в делах, но медлит в речах. Общаясь с людьми добродетельными, он исправляет себя. Вот о таком человеке можно сказать, что он предан учению."
"Шутим, шутим, а тоска всё растёт, растёт...","Шутим, шутим, а тоска всё растёт, растёт..."
Чем я занимаюсь? Симулирую здоровье.,Чем я занимаюсь? Симулирую здоровье.
"Человек, который был бесспорным любимцем своей матери, через всю свою жизнь проносит чувство победителя и уверенности в удачу, которые нередко приводят к действительному успеху.","Человек, который был бесспорным любимцем своей матери, через всю свою жизнь проносит чувство победителя и уверенности в удачу, которые нередко приводят к действительному успеху."
"Человечный муж не будет находиться долго в стеснённых обстоятельствах, но он также не будет долго пребывать в праздности.","Человечный муж не будет находиться долго в стеснённых обстоятельствах, но он также не будет долго пребывать в праздности."
"Акт отмщения, как и половой акт, должен производиться с чувством, с толком, с расстановкой.","Акт отмщения, как и половой акт, должен производиться с чувством, с толком, с расстановкой."
"Свою слепить бы жизнь из самых умных дел
Там не додумался, тут вовсе не сумел.
Но Время — вот у нас учитель расторопный!
Как подзатыльник даст, ты малость поумнел.","Свою слепить бы жизнь из самых умных дел
Там не додумался, тут вовсе не сумел.
Но Время — вот у нас учитель расторопный!
Как подзатыльник даст, ты малость поумнел."
"Почтительный сын — это тот, кто огорчает отца и мать разве что своей болезнью.","Почтительный сын — это тот, кто огорчает отца и мать разве что своей болезнью."
"Мне попадаются не лица, а личное оскорбление.","Мне попадаются не лица, а личное оскорбление."
"Пока человек не сдаётся, он сильнее своей судьбы.","Пока человек не сдаётся, он сильнее своей судьбы."
"Меланхоликом становишься, когда размышляешь о жизни, а циником - когда видишь, что делает из нее большинство людей.","Меланхоликом становишься, когда размышляешь о жизни, а циником - когда видишь, что делает из нее большинство людей."
"Один, глядя в лужу, видит в ней грязь, а другой — отражающиеся в ней звезды.","Один, глядя в лужу, видит в ней грязь, а другой — отражающиеся в ней звезды."
"Свои способности человек может узнать, только попытавшись применить их на деле.","Свои способности человек может узнать, только попытавшись применить их на деле."
"Только идиоты утверждают, что они не идиоты. Противоречить им бесполезно.","Только идиоты утверждают, что они не идиоты. Противоречить им бесполезно."
"Зачем же гнаться по следам того, что уже окончено?","Зачем же гнаться по следам того, что уже окончено?"
"От принципов необходимо иногда отступать, иначе они не доставляют радости.","От принципов необходимо иногда отступать, иначе они не доставляют радости."
"Когда чего-нибудь сильно захочешь, вся Вселенная будет способствовать тому, чтобы желание твое сбылось.","Когда чего-нибудь сильно захочешь, вся Вселенная будет способствовать тому, чтобы желание твое сбылось."
Одиночество — удел сильных. Слабые всегда жмутся к толпе.,Одиночество — удел сильных. Слабые всегда жмутся к толпе.
"Клевета наносит удары обыкновенно достойным людям, так черви предпочтительно набрасываются на лучшие фрукты.","Клевета наносит удары обыкновенно достойным людям, так черви предпочтительно набрасываются на лучшие фрукты."
"Благородный стойко переносит беды, а низкий человек в беде распускается.","Благородный стойко переносит беды, а низкий человек в беде распускается."
"Разумно ль смерти мне страшиться? Только раз
Я ей взгляну в лицо, когда придет мой час.","Разумно ль смерти мне страшиться? Только раз
Я ей взгляну в лицо, когда придет мой час."
Если твоя судьба не вызывает у тебя смеха - значит ты не понял шутки.,Если твоя судьба не вызывает у тебя смеха - значит ты не понял шутки.
"Там, где много говорят о победах, или забыли истину, или прячутся от нее.","Там, где много говорят о победах, или забыли истину, или прячутся от нее."
"Вы можете получить все, что вам нужно, если только это вам и вправду нужно.","Вы можете получить все, что вам нужно, если только это вам и вправду нужно."
"Все, что есть у нас собственного и что, следовательно, является нашей заслугой или нашей виной, может поместиться на кончике иголки, все же остальное нам передал длинный ряд предков.","Все, что есть у нас собственного и что, следовательно, является нашей заслугой или нашей виной, может поместиться на кончике иголки, все же остальное нам передал длинный ряд предков."
"В жизни нет готовых решений. В жизни есть силы, которые движутся. Нужно их создавать. Тогда придут и решения.","В жизни нет готовых решений. В жизни есть силы, которые движутся. Нужно их создавать. Тогда придут и решения."
"Иногда думаешь, что все хорошо, а кто-то уже роет тебе могилу...","Иногда думаешь, что все хорошо, а кто-то уже роет тебе могилу..."
"Каждый человек, появляющийся в твоей жизни, все события, которые с тобой происходят, - всё это случается с тобой потому, что это ты притянул их сюда. И то, что ты делаешь со всем этим дальше, ты выбираешь сам.","Каждый человек, появляющийся в твоей жизни, все события, которые с тобой происходят, - всё это случается с тобой потому, что это ты притянул их сюда. И то, что ты делаешь со всем этим дальше, ты выбираешь сам."
"Ты всегда хочешь оставаться такой, какой была прежде, а это невозможно: ведь сегодня ты уже не та.","Ты всегда хочешь оставаться такой, какой была прежде, а это невозможно: ведь сегодня ты уже не та."
"Без любви человек не более чем мертвец в отпуске: несколько дат, ничего не говорящее имя. Но зачем же тогда жить? С таким же успехом можно и умереть.","Без любви человек не более чем мертвец в отпуске: несколько дат, ничего не говорящее имя. Но зачем же тогда жить? С таким же успехом можно и умереть."
Мы входим в мир одинокими и одинокими покидаем его.,Мы входим в мир одинокими и одинокими покидаем его.
"Бывает разочарование достижением, когда к погибели вела мечта.","Бывает разочарование достижением, когда к погибели вела мечта."
"Одиночество легче, когда не любишь.","Одиночество легче, когда не любишь."
"Цель жизни — поиск совершенства, а задача каждого из нас — максимально приблизить его проявление в самом себе.","Цель жизни — поиск совершенства, а задача каждого из нас — максимально приблизить его проявление в самом себе."
"Кто знает, может, жизнь дана нам в наказание за те преступления, которые мы совершили где-нибудь в ином мире? Быть может, наша жизнь и есть ад и церковники ошибаются, суля нам после смерти адские муки.","Кто знает, может, жизнь дана нам в наказание за те преступления, которые мы совершили где-нибудь в ином мире? Быть может, наша жизнь и есть ад и церковники ошибаются, суля нам после смерти адские муки."
"Как легко потерять все то, что, казалось бы, дано тебе на всю жизнь.","Как легко потерять все то, что, казалось бы, дано тебе на всю жизнь."
"Человеческий мозг – великолепная штука. Он работает до той самой минуты, когда ты встаешь, чтобы произнести речь.","Человеческий мозг – великолепная штука. Он работает до той самой минуты, когда ты встаешь, чтобы произнести речь."
"Тот, кто, дожив до сорока лет, вызывает лишь неприязнь, - конченый человек.","Тот, кто, дожив до сорока лет, вызывает лишь неприязнь, - конченый человек."
"Мужчина ревнует к своим предшественникам, женщина — к тем, кто придет после нее.","Мужчина ревнует к своим предшественникам, женщина — к тем, кто придет после нее."
"Мужчина, способный на поступки, обречен быть любимым!","Мужчина, способный на поступки, обречен быть любимым!"
"Отпустить прошлое – значит суметь сказать вслух ""всё прошло"".","Отпустить прошлое – значит суметь сказать вслух ""всё прошло""."
"С добром надо спешить, иначе оно может остаться без адресата.","С добром надо спешить, иначе оно может остаться без адресата."
"Если человек тверд, решителен, прост и несловоохотлив, то он уже близок к человечности.","Если человек тверд, решителен, прост и несловоохотлив, то он уже близок к человечности."
"Секс хорош года примерно на два, а потом уже вам необходима любовь.","Секс хорош года примерно на два, а потом уже вам необходима любовь."
"Важно не то, проиграем ли мы в игре, а важно как мы проиграем и как благодаря этому изменимся, что нового вынесем для себя, как сможем применить это в других играх. Странным способом поражение оказывается победой.","Важно не то, проиграем ли мы в игре, а важно как мы проиграем и как благодаря этому изменимся, что нового вынесем для себя, как сможем применить это в других играх. Странным способом поражение оказывается победой."
"Пускай ты прожил жизнь без тяжких мук, — что дальше?
Пускай твой жизненный замкнулся круг, — что дальше?
Пускай, блаженствуя, ты проживешь сто лет
И сотню лет еще, — скажи, мой друг, что дальше?","Пускай ты прожил жизнь без тяжких мук, — что дальше?
Пускай твой жизненный замкнулся круг, — что дальше?
Пускай, блаженствуя, ты проживешь сто лет
И сотню лет еще, — скажи, мой друг, что дальше?"
Уметь жить чужой радостью — самое редкое искусство.,Уметь жить чужой радостью — самое редкое искусство.
Каждая нация считает себя выше других наций. Это порождает патриотизм и... войны.,Каждая нация считает себя выше других наций. Это порождает патриотизм и... войны.
Спутник славы - одиночество.,Спутник славы - одиночество.
"Ни одно желание не даётся тебе отдельно от силы, позволяющей его осуществить.","Ни одно желание не даётся тебе отдельно от силы, позволяющей его осуществить."
"Что такое человеческая жизнь? Первая треть – хорошее время; остальное – воспоминание о нем.","Что такое человеческая жизнь? Первая треть – хорошее время; остальное – воспоминание о нем."
Простить значит забыть.,Простить значит забыть.
"Тот, кто воображает, что может обойтись без других людей, очень ошибается; но тот, кто воображает, что другие не смогут обойтись без него, ошибается ещё больше.","Тот, кто воображает, что может обойтись без других людей, очень ошибается; но тот, кто воображает, что другие не смогут обойтись без него, ошибается ещё больше."
"Мир я сравнил бы с шахматной доской -
То день, то ночь. А пешки? Мы с тобой.
Подвигают, притиснут и — побили.
И в темный ящик сунут на покой.","Мир я сравнил бы с шахматной доской -
То день, то ночь. А пешки? Мы с тобой.
Подвигают, притиснут и — побили.
И в темный ящик сунут на покой."
"Чем больше пустяков считаешь везением, тем чаще тебе везет.","Чем больше пустяков считаешь везением, тем чаще тебе везет."
"Между нами никогда не было больше того, что приносил случай. Но, может быть, как раз это и привязывает и обязывает людей сильней, чем многое другое.","Между нами никогда не было больше того, что приносил случай. Но, может быть, как раз это и привязывает и обязывает людей сильней, чем многое другое."
"Чтоб мудро жизнь прожить, знать надобно немало,
Два важных правила запомни для начала:
Ты лучше голодай, чем что попало есть,
И лучше будь один, чем вместе с кем попало.","Чтоб мудро жизнь прожить, знать надобно немало,
Два важных правила запомни для начала:
Ты лучше голодай, чем что попало есть,
И лучше будь один, чем вместе с кем попало."
"Люди растрачивают всю свою жизнь, чтобы достать то, что им будто бы нужно для жизни.","Люди растрачивают всю свою жизнь, чтобы достать то, что им будто бы нужно для жизни."
"Когда мы осмыслим свою роль на земле, пусть самую скромную и незаметную, тогда лишь мы будем счастливы. Тогда лишь мы сможем жить и умирать спокойно, ибо то, что дает смысл жизни, дает и смысл смерти.","Когда мы осмыслим свою роль на земле, пусть самую скромную и незаметную, тогда лишь мы будем счастливы. Тогда лишь мы сможем жить и умирать спокойно, ибо то, что дает смысл жизни, дает и смысл смерти."
"Привычка терпеть и приспосабливаться превращает людей в бессловесных скотов, даже превосходящих их в беззащитности. И каждый новый день порождает новый ужас зла и насилия.","Привычка терпеть и приспосабливаться превращает людей в бессловесных скотов, даже превосходящих их в беззащитности. И каждый новый день порождает новый ужас зла и насилия."
