Question,Answer
Воспоминания — это богатства старости.,Воспоминания — это богатства старости.
"Ошибочно полагать, что можно обойтись без других, но ещё более ошибочно думать, что другие не могли бы обойтись без нас.","Ошибочно полагать, что можно обойтись без других, но ещё более ошибочно думать, что другие не могли бы обойтись без нас."
"Нетрудно понять, почему легенда заслужила больше уважения, чем история. Легенду творит вся деревня — книгу пишет одинокий сумасшедший.","Нетрудно понять, почему легенда заслужила больше уважения, чем история. Легенду творит вся деревня — книгу пишет одинокий сумасшедший."
"Человек лучше всего следит за собой тогда, когда другие следят за ним тоже.","Человек лучше всего следит за собой тогда, когда другие следят за ним тоже."
"То, что вы получаете, достигая своих целей, не так важно, как то, кем вы становитесь, достигая своих целей. ","То, что вы получаете, достигая своих целей, не так важно, как то, кем вы становитесь, достигая своих целей. "
"Обычно люди, когда берут собаку, не задумываются над тем, что почти наверняка переживут её, а собака не стул, не костюм. Вместе с ней потеряешь часть себя.","Обычно люди, когда берут собаку, не задумываются над тем, что почти наверняка переживут её, а собака не стул, не костюм. Вместе с ней потеряешь часть себя."
"О характере человека можно судить по тому, как он ведет себя с теми, кто ничем не может быть ему полезен, а также с теми, кто не может дать ему сдачи.","О характере человека можно судить по тому, как он ведет себя с теми, кто ничем не может быть ему полезен, а также с теми, кто не может дать ему сдачи."
"Каждый человек находит себе оправдание, и чем более подлым он становится, тем трогательнее у него история.","Каждый человек находит себе оправдание, и чем более подлым он становится, тем трогательнее у него история."
Каждый из нас — это нерассказанная история.,Каждый из нас — это нерассказанная история.
"Общество потребления — это общество одиноких людей, у которых есть всё, кроме того, что им действительно необходимо.","Общество потребления — это общество одиноких людей, у которых есть всё, кроме того, что им действительно необходимо."
"Знаешь, что главное в жизни? Главное то, что жизнь одна. Прошла минута, и конец. Другой не будет.","Знаешь, что главное в жизни? Главное то, что жизнь одна. Прошла минута, и конец. Другой не будет."
"Алкоголь — это анестезия, позволяющая перенести операцию под названием жизнь.","Алкоголь — это анестезия, позволяющая перенести операцию под названием жизнь."
"Нет такого горя, которое бы не отступило перед жизнью. И это - великое счастье... Иначе как бы мы все стали жить?","Нет такого горя, которое бы не отступило перед жизнью. И это - великое счастье... Иначе как бы мы все стали жить?"
Удача улыбается смелым... А потом долго ржет над ними!,Удача улыбается смелым... А потом долго ржет над ними!
"Каждый человек способен на многое. Но, к сожалению, не каждый знает, на что он способен...","Каждый человек способен на многое. Но, к сожалению, не каждый знает, на что он способен..."
"Ничто так не вводит в заблуждение и не задерживает в продвижении вперёд, как самонадеянность, которая всему придаёт вид достоверности.","Ничто так не вводит в заблуждение и не задерживает в продвижении вперёд, как самонадеянность, которая всему придаёт вид достоверности."
"Бывают обстоятельства, когда даже самые нерешительные люди начинают действовать быстро и энергично, а самые предусмотрительные забывают свое благоразумие и принимают безрассудно смелые решения.","Бывают обстоятельства, когда даже самые нерешительные люди начинают действовать быстро и энергично, а самые предусмотрительные забывают свое благоразумие и принимают безрассудно смелые решения."
Готовность пожертвовать собой ради выполнения долга есть основа поддержания жизни.,Готовность пожертвовать собой ради выполнения долга есть основа поддержания жизни.
"Те, кто считаются всеведущими, нерешительны в миг, когда надо повелевать и строптивы, когда надо повиноваться. Отдавать приказы – им стыдно, получать их – бесчестье.","Те, кто считаются всеведущими, нерешительны в миг, когда надо повелевать и строптивы, когда надо повиноваться. Отдавать приказы – им стыдно, получать их – бесчестье."
"Сделай шаг вперед — и ты поймешь, что многое не так страшно как раз потому, что больше всего пугает.","Сделай шаг вперед — и ты поймешь, что многое не так страшно как раз потому, что больше всего пугает."
Иногда я останавливаюсь и думаю: я мог умереть сегодня!,Иногда я останавливаюсь и думаю: я мог умереть сегодня!
Война между близкими бывает особенно непримирима.,Война между близкими бывает особенно непримирима.
"Тяжесть и легкость, радость и грусть... Они не размыкают рук для того, чтобы человек не был ни безнадежно несчастным, ни безнадежно счастливым.","Тяжесть и легкость, радость и грусть... Они не размыкают рук для того, чтобы человек не был ни безнадежно несчастным, ни безнадежно счастливым."
"Когда ты спасёшься от преследования, каждый день для тебя — целая жизнь. Каждая минута свободы — это отдельная история со счастливым концом.","Когда ты спасёшься от преследования, каждый день для тебя — целая жизнь. Каждая минута свободы — это отдельная история со счастливым концом."
"Я признаюсь вам, как на духу:
Такова вся спортивная жизнь,
Лишь мгновение ты наверху -
И стремительно падаешь вниз.","Я признаюсь вам, как на духу:
Такова вся спортивная жизнь,
Лишь мгновение ты наверху -
И стремительно падаешь вниз."
"Лишь очень немногие могут быть счастливы, обходясь без ненависти к каким-либо лицам, народам или верованиям.","Лишь очень немногие могут быть счастливы, обходясь без ненависти к каким-либо лицам, народам или верованиям."
Видеть несправедливость и молчать — это значит самому участвовать в ней.,Видеть несправедливость и молчать — это значит самому участвовать в ней.
"Каждый шаг художника — приключение, величайший риск. В этом риске, однако, и только в нем, заключается свобода искусства.","Каждый шаг художника — приключение, величайший риск. В этом риске, однако, и только в нем, заключается свобода искусства."
"Если вы слышите внутренний голос, который говорит вам: «Вы не сможете рисовать», рисуйте во что бы то ни стало, и этот голос однажды замолчит.","Если вы слышите внутренний голос, который говорит вам: «Вы не сможете рисовать», рисуйте во что бы то ни стало, и этот голос однажды замолчит."
"По статистике, один из четырех человек в нашей стране психически неуравновешен. Вспомните о трех своих близких друзьях. Если с ними все в порядке, значит, это вы.","По статистике, один из четырех человек в нашей стране психически неуравновешен. Вспомните о трех своих близких друзьях. Если с ними все в порядке, значит, это вы."
"Никогда не забывай умышленной обиды, — будь немногословен или вовсе смолчи и никогда не отвечай оскорблением на оскорбление.","Никогда не забывай умышленной обиды, — будь немногословен или вовсе смолчи и никогда не отвечай оскорблением на оскорбление."
"Плод проще объявить запретным, чем обеспечить им всех желающих.","Плод проще объявить запретным, чем обеспечить им всех желающих."
"Случается иногда, что жизнь разводит двоих людей только для того, чтобы показать обоим, как они важны друг для друга.","Случается иногда, что жизнь разводит двоих людей только для того, чтобы показать обоим, как они важны друг для друга."
"Серьёзные, действительно важные жизненные решения не бывают правильными или неправильными, просто начинается другая жизнь.","Серьёзные, действительно важные жизненные решения не бывают правильными или неправильными, просто начинается другая жизнь."
"Одно из величайших заблуждений — это думать, что все чувствуют, видят и мыслят точно так же, как и мы.","Одно из величайших заблуждений — это думать, что все чувствуют, видят и мыслят точно так же, как и мы."
"Все хотят, чтобы другие были счастливы по их образу мыслей.","Все хотят, чтобы другие были счастливы по их образу мыслей."
"Есть в каждой нравственной системе
идея, общая для всех:
нельзя и с теми быть, и с теми,
не предавая тех и тех.","Есть в каждой нравственной системе
идея, общая для всех:
нельзя и с теми быть, и с теми,
не предавая тех и тех."
"Хорошо, что у людей еще остается много важных мелочей, которые приковывают их к жизни, защищают от нее. А вот одиночество — настоящее одиночество, без всяких иллюзий — наступает перед безумием или самоубийством.","Хорошо, что у людей еще остается много важных мелочей, которые приковывают их к жизни, защищают от нее. А вот одиночество — настоящее одиночество, без всяких иллюзий — наступает перед безумием или самоубийством."
"Это самое лучшее, что только может в жизни случиться. Когда тебя увольняют, ты перестаешь толочь воду в ступе и начинаешь что-то менять в своей жизни.","Это самое лучшее, что только может в жизни случиться. Когда тебя увольняют, ты перестаешь толочь воду в ступе и начинаешь что-то менять в своей жизни."
Общественное мнение щадит ястреба и карает цыпленка.,Общественное мнение щадит ястреба и карает цыпленка.
Шоу должно продолжаться...,Шоу должно продолжаться...
"Существует только одна вещь, худшая, чем не читать книг последние 90 дней: не читать последние 90 дней и думать, что все нормально.","Существует только одна вещь, худшая, чем не читать книг последние 90 дней: не читать последние 90 дней и думать, что все нормально."
"Я очень надеюсь, что когда-нибудь ученые и политики заново откроют то, что всегда было известно нашим предкам: самое ценное в человеческой культуре — это уважение.","Я очень надеюсь, что когда-нибудь ученые и политики заново откроют то, что всегда было известно нашим предкам: самое ценное в человеческой культуре — это уважение."
"Мудрец не примет участия в государственных делах, если только к этому его кто-нибудь не принудит.","Мудрец не примет участия в государственных делах, если только к этому его кто-нибудь не принудит."
"Если у человека нет цели, то жизнь его есть не что иное, как продолжительная смерть.","Если у человека нет цели, то жизнь его есть не что иное, как продолжительная смерть."
"Если ты не можешь изменить мир, измени отношение к этому миру.","Если ты не можешь изменить мир, измени отношение к этому миру."
"Если какая-то точка зрения широко распространена, это вовсе не значит, что она не абсурдна.","Если какая-то точка зрения широко распространена, это вовсе не значит, что она не абсурдна."
"Законы пишутся для обыкновенных людей, поэтому они должны основываться на обыкновенных правилах здравого смысла.","Законы пишутся для обыкновенных людей, поэтому они должны основываться на обыкновенных правилах здравого смысла."
"Думайте как мудрый человек, но общайтесь на языке людей.","Думайте как мудрый человек, но общайтесь на языке людей."
"Не говори своему другу того, что не должен знать твой враг.","Не говори своему другу того, что не должен знать твой враг."
"То, что приходится обрывать, надо обрывать сразу.","То, что приходится обрывать, надо обрывать сразу."
"Жизнь — это не то, сколько вдохов ты сделал, а то, сколько раз у тебя перехватывало дыхание.","Жизнь — это не то, сколько вдохов ты сделал, а то, сколько раз у тебя перехватывало дыхание."
"Одним из существенных препятствий для развития рода человеческого следует считать то, что люди слушаются не того, кто умнее других, а того, кто громче всех говорит.","Одним из существенных препятствий для развития рода человеческого следует считать то, что люди слушаются не того, кто умнее других, а того, кто громче всех говорит."
"На обеды друзей ходи медленно, на беды — быстро.","На обеды друзей ходи медленно, на беды — быстро."
"Летопись моей жизни — это, по существу, перечень друзей.","Летопись моей жизни — это, по существу, перечень друзей."
"Одиночество — это когда в доме есть телефон, а звонит будильник.","Одиночество — это когда в доме есть телефон, а звонит будильник."
"Вбирай все мненья, но храни своё.","Вбирай все мненья, но храни своё."
"Ничто так не вредно познанию, как категоричность утверждений.","Ничто так не вредно познанию, как категоричность утверждений."
"Успех – это идея плюс воплощенный выбор. Оглянись вокруг: все, что ты видишь, к чему можешь прикоснуться руками, когда-то было лишь невидимой идеей, пока некто не воплотил ее в жизнь.","Успех – это идея плюс воплощенный выбор. Оглянись вокруг: все, что ты видишь, к чему можешь прикоснуться руками, когда-то было лишь невидимой идеей, пока некто не воплотил ее в жизнь."
Человека с наследственной склонностью к азартным играм предостерегать бесполезно.,Человека с наследственной склонностью к азартным играм предостерегать бесполезно.
"Люди забираются в скорые поезда, но они уже сами не понимают, чего ищут. Поэтому они не знают покоя и бросаются то в одну сторону, то в другую... И все напрасно...","Люди забираются в скорые поезда, но они уже сами не понимают, чего ищут. Поэтому они не знают покоя и бросаются то в одну сторону, то в другую... И все напрасно..."
"Примирение с любимым человеком после измены похоже на хрустальную вазу, склеенную из осколков: пользоваться ею еще можно, а любоваться — уже нет.","Примирение с любимым человеком после измены похоже на хрустальную вазу, склеенную из осколков: пользоваться ею еще можно, а любоваться — уже нет."
"Любовь, деньги и заботы скрыть невозможно.","Любовь, деньги и заботы скрыть невозможно."
"Люди гораздо больше, чем вещи, нуждаются в том, чтобы их подобрали, починили, нашли им место и простили; никогда никого не ""выбрасывайте""...","Люди гораздо больше, чем вещи, нуждаются в том, чтобы их подобрали, починили, нашли им место и простили; никогда никого не ""выбрасывайте""..."
"Благородный не стремится есть досыта и жить богато. Он поспешает в делах, но медлит в речах. Общаясь с людьми добродетельными, он исправляет себя. Вот о таком человеке можно сказать, что он предан учению.","Благородный не стремится есть досыта и жить богато. Он поспешает в делах, но медлит в речах. Общаясь с людьми добродетельными, он исправляет себя. Вот о таком человеке можно сказать, что он предан учению."
"Если бы только родители могли себе представить, как они надоедают своим детям!","Если бы только родители могли себе представить, как они надоедают своим детям!"
"Если человек недоволен своим положением, он может изменить его двумя средствами: или улучшить условия своей жизни или улучшить свое душевное состояние. Первое не всегда возможно, второе — всегда.","Если человек недоволен своим положением, он может изменить его двумя средствами: или улучшить условия своей жизни или улучшить свое душевное состояние. Первое не всегда возможно, второе — всегда."
Наглость — лучшая компенсация отсутствия ума.,Наглость — лучшая компенсация отсутствия ума.
"Когда что-нибудь делаешь слишком хорошо, то, если не следить за собой, начинаешь выставляться напоказ. А тогда уже не может быть хорошо.","Когда что-нибудь делаешь слишком хорошо, то, если не следить за собой, начинаешь выставляться напоказ. А тогда уже не может быть хорошо."
Люди с рабской психологией считают свои кандалы гарантией стабильности.,Люди с рабской психологией считают свои кандалы гарантией стабильности.
"Нигде не найти покоя тому, кто не нашёл его в самом себе.","Нигде не найти покоя тому, кто не нашёл его в самом себе."
"Люди, достигшие успеха в мире, — это те люди, которые встают и ищут случай.","Люди, достигшие успеха в мире, — это те люди, которые встают и ищут случай."
"Надо только начать делать что-нибудь, чтобы понять, как мало честных, порядочных людей.","Надо только начать делать что-нибудь, чтобы понять, как мало честных, порядочных людей."
Из двух возможных слов всегда выбирайте самое простое.,Из двух возможных слов всегда выбирайте самое простое.
"Многие наши беды объясняются тем, что мы слишком быстро говорим «да» и не слишком быстро — «нет».","Многие наши беды объясняются тем, что мы слишком быстро говорим «да» и не слишком быстро — «нет»."
Скука — наиболее распространенная черта существования.,Скука — наиболее распространенная черта существования.
"Каждый, подобно луне, имеет свою темную сторону, которую не показывает никому.","Каждый, подобно луне, имеет свою темную сторону, которую не показывает никому."
"Чем меньше человек повышает голос, тем больше к нему прислушиваются и лучше слышат.","Чем меньше человек повышает голос, тем больше к нему прислушиваются и лучше слышат."
"До чего же теперешние молодые люди странные. Прошлое вы ненавидите, настоящее презираете, а будущее вам безразлично. Вряд ли это приведёт к хорошему концу.","До чего же теперешние молодые люди странные. Прошлое вы ненавидите, настоящее презираете, а будущее вам безразлично. Вряд ли это приведёт к хорошему концу."
"Когда деньги есть, как-то легче согласиться, что не в них счастье.","Когда деньги есть, как-то легче согласиться, что не в них счастье."
"Свои способности человек может узнать, только попытавшись применить их на деле.","Свои способности человек может узнать, только попытавшись применить их на деле."
"Не отягчайте свой полёт мелочами, которые принято называть жизненными потребностями. Помните: утяжелив тело, мы укорачиваем крылья.","Не отягчайте свой полёт мелочами, которые принято называть жизненными потребностями. Помните: утяжелив тело, мы укорачиваем крылья."
"Некоторые люди слишком глупы, чтобы вовремя остановиться.","Некоторые люди слишком глупы, чтобы вовремя остановиться."
"Зачем же гнаться по следам того, что уже окончено?","Зачем же гнаться по следам того, что уже окончено?"
"Теперь я один. Не совсем один Есть еще эта мысль, она рядом, она ждет. Она свернулась клубком, как громадная кошка; она ничего не объясняет, не шевелится, она только говорит ""нет"".","Теперь я один. Не совсем один Есть еще эта мысль, она рядом, она ждет. Она свернулась клубком, как громадная кошка; она ничего не объясняет, не шевелится, она только говорит ""нет""."
Одиночество — удел сильных. Слабые всегда жмутся к толпе.,Одиночество — удел сильных. Слабые всегда жмутся к толпе.
"Слабые люди преодолевают жизнь, мужественные — осваивают.","Слабые люди преодолевают жизнь, мужественные — осваивают."
"Клевета наносит удары обыкновенно достойным людям, так черви предпочтительно набрасываются на лучшие фрукты.","Клевета наносит удары обыкновенно достойным людям, так черви предпочтительно набрасываются на лучшие фрукты."
"Любому живому человеку следует ждать смерти и перемен: это единственные ожидания, которые не оказываются обманутыми.","Любому живому человеку следует ждать смерти и перемен: это единственные ожидания, которые не оказываются обманутыми."
"Беден ли человек, богат ли, вовек ему не стать добродетельным и счастливым, если волей фортуны он окажется не на своем месте.","Беден ли человек, богат ли, вовек ему не стать добродетельным и счастливым, если волей фортуны он окажется не на своем месте."
