Question,Answer
"Хорошо, что у людей еще остается много важных мелочей, которые приковывают их к жизни, защищают от нее. А вот одиночество — настоящее одиночество, без всяких иллюзий — наступает перед безумием или самоубийством.","Хорошо, что у людей еще остается много важных мелочей, которые приковывают их к жизни, защищают от нее. А вот одиночество — настоящее одиночество, без всяких иллюзий — наступает перед безумием или самоубийством."
"Мы все свободны поступать так, как мы того захотим.","Мы все свободны поступать так, как мы того захотим."
"Однажды я провел в размышлениях целый день без еды и целую ночь без сна, но я ничего не добился. Было бы лучше посвятить то время учению.","Однажды я провел в размышлениях целый день без еды и целую ночь без сна, но я ничего не добился. Было бы лучше посвятить то время учению."
"Если ты не можешь изменить мир, измени отношение к этому миру.","Если ты не можешь изменить мир, измени отношение к этому миру."
"Одиночество — это когда в доме есть телефон, а звонит будильник.","Одиночество — это когда в доме есть телефон, а звонит будильник."
"Самое худшее, когда нужно ждать и не можешь ничего сделать. От этого можно сойти с ума.","Самое худшее, когда нужно ждать и не можешь ничего сделать. От этого можно сойти с ума."
Люди в древности не любили много говорить. Они считали позором для себя не поспеть за собственными словами.,Люди в древности не любили много говорить. Они считали позором для себя не поспеть за собственными словами.
"Люди забираются в скорые поезда, но они уже сами не понимают, чего ищут. Поэтому они не знают покоя и бросаются то в одну сторону, то в другую... И все напрасно...","Люди забираются в скорые поезда, но они уже сами не понимают, чего ищут. Поэтому они не знают покоя и бросаются то в одну сторону, то в другую... И все напрасно..."
"В этом замкнутом круге — крути не крути -
Не удастся конца и начала найти.
Наша роль в этом мире — прийти и уйти.
Кто нам скажет о цели, о смысле пути?","В этом замкнутом круге — крути не крути -
Не удастся конца и начала найти.
Наша роль в этом мире — прийти и уйти.
Кто нам скажет о цели, о смысле пути?"
"Вам знакомо выражение ""выше головы не прыгнешь""? Это заблуждение. Человек может все.","Вам знакомо выражение ""выше головы не прыгнешь""? Это заблуждение. Человек может все."
"Благородный не стремится есть досыта и жить богато. Он поспешает в делах, но медлит в речах. Общаясь с людьми добродетельными, он исправляет себя. Вот о таком человеке можно сказать, что он предан учению.","Благородный не стремится есть досыта и жить богато. Он поспешает в делах, но медлит в речах. Общаясь с людьми добродетельными, он исправляет себя. Вот о таком человеке можно сказать, что он предан учению."
Чем я занимаюсь? Симулирую здоровье.,Чем я занимаюсь? Симулирую здоровье.
"Человечный муж не будет находиться долго в стеснённых обстоятельствах, но он также не будет долго пребывать в праздности.","Человечный муж не будет находиться долго в стеснённых обстоятельствах, но он также не будет долго пребывать в праздности."
"Свою слепить бы жизнь из самых умных дел
Там не додумался, тут вовсе не сумел.
Но Время — вот у нас учитель расторопный!
Как подзатыльник даст, ты малость поумнел.","Свою слепить бы жизнь из самых умных дел
Там не додумался, тут вовсе не сумел.
Но Время — вот у нас учитель расторопный!
Как подзатыльник даст, ты малость поумнел."
"Почтительный сын — это тот, кто огорчает отца и мать разве что своей болезнью.","Почтительный сын — это тот, кто огорчает отца и мать разве что своей болезнью."
"Мне попадаются не лица, а личное оскорбление.","Мне попадаются не лица, а личное оскорбление."
"Пока человек не сдаётся, он сильнее своей судьбы.","Пока человек не сдаётся, он сильнее своей судьбы."
"Один, глядя в лужу, видит в ней грязь, а другой — отражающиеся в ней звезды.","Один, глядя в лужу, видит в ней грязь, а другой — отражающиеся в ней звезды."
"Только идиоты утверждают, что они не идиоты. Противоречить им бесполезно.","Только идиоты утверждают, что они не идиоты. Противоречить им бесполезно."
"Зачем же гнаться по следам того, что уже окончено?","Зачем же гнаться по следам того, что уже окончено?"
"Когда чего-нибудь сильно захочешь, вся Вселенная будет способствовать тому, чтобы желание твое сбылось.","Когда чего-нибудь сильно захочешь, вся Вселенная будет способствовать тому, чтобы желание твое сбылось."
Одиночество — удел сильных. Слабые всегда жмутся к толпе.,Одиночество — удел сильных. Слабые всегда жмутся к толпе.
"Благородный стойко переносит беды, а низкий человек в беде распускается.","Благородный стойко переносит беды, а низкий человек в беде распускается."
"Разумно ль смерти мне страшиться? Только раз
Я ей взгляну в лицо, когда придет мой час.","Разумно ль смерти мне страшиться? Только раз
Я ей взгляну в лицо, когда придет мой час."
Если твоя судьба не вызывает у тебя смеха - значит ты не понял шутки.,Если твоя судьба не вызывает у тебя смеха - значит ты не понял шутки.
"Иногда думаешь, что все хорошо, а кто-то уже роет тебе могилу...","Иногда думаешь, что все хорошо, а кто-то уже роет тебе могилу..."
"Каждый человек, появляющийся в твоей жизни, все события, которые с тобой происходят, - всё это случается с тобой потому, что это ты притянул их сюда. И то, что ты делаешь со всем этим дальше, ты выбираешь сам.","Каждый человек, появляющийся в твоей жизни, все события, которые с тобой происходят, - всё это случается с тобой потому, что это ты притянул их сюда. И то, что ты делаешь со всем этим дальше, ты выбираешь сам."
"Одиночество легче, когда не любишь.","Одиночество легче, когда не любишь."
"Цель жизни — поиск совершенства, а задача каждого из нас — максимально приблизить его проявление в самом себе.","Цель жизни — поиск совершенства, а задача каждого из нас — максимально приблизить его проявление в самом себе."
"Тот, кто, дожив до сорока лет, вызывает лишь неприязнь, - конченый человек.","Тот, кто, дожив до сорока лет, вызывает лишь неприязнь, - конченый человек."
"Мужчина, способный на поступки, обречен быть любимым!","Мужчина, способный на поступки, обречен быть любимым!"
"С добром надо спешить, иначе оно может остаться без адресата.","С добром надо спешить, иначе оно может остаться без адресата."
"Если человек тверд, решителен, прост и несловоохотлив, то он уже близок к человечности.","Если человек тверд, решителен, прост и несловоохотлив, то он уже близок к человечности."
"Секс хорош года примерно на два, а потом уже вам необходима любовь.","Секс хорош года примерно на два, а потом уже вам необходима любовь."
"Важно не то, проиграем ли мы в игре, а важно как мы проиграем и как благодаря этому изменимся, что нового вынесем для себя, как сможем применить это в других играх. Странным способом поражение оказывается победой.","Важно не то, проиграем ли мы в игре, а важно как мы проиграем и как благодаря этому изменимся, что нового вынесем для себя, как сможем применить это в других играх. Странным способом поражение оказывается победой."
Спутник славы - одиночество.,Спутник славы - одиночество.
"Ни одно желание не даётся тебе отдельно от силы, позволяющей его осуществить.","Ни одно желание не даётся тебе отдельно от силы, позволяющей его осуществить."
"Что такое человеческая жизнь? Первая треть – хорошее время; остальное – воспоминание о нем.","Что такое человеческая жизнь? Первая треть – хорошее время; остальное – воспоминание о нем."
"Мир я сравнил бы с шахматной доской -
То день, то ночь. А пешки? Мы с тобой.
Подвигают, притиснут и — побили.
И в темный ящик сунут на покой.","Мир я сравнил бы с шахматной доской -
То день, то ночь. А пешки? Мы с тобой.
Подвигают, притиснут и — побили.
И в темный ящик сунут на покой."
"Чем больше пустяков считаешь везением, тем чаще тебе везет.","Чем больше пустяков считаешь везением, тем чаще тебе везет."
"Чтоб мудро жизнь прожить, знать надобно немало,
Два важных правила запомни для начала:
Ты лучше голодай, чем что попало есть,
И лучше будь один, чем вместе с кем попало.","Чтоб мудро жизнь прожить, знать надобно немало,
Два важных правила запомни для начала:
Ты лучше голодай, чем что попало есть,
И лучше будь один, чем вместе с кем попало."
"Когда мы осмыслим свою роль на земле, пусть самую скромную и незаметную, тогда лишь мы будем счастливы. Тогда лишь мы сможем жить и умирать спокойно, ибо то, что дает смысл жизни, дает и смысл смерти.","Когда мы осмыслим свою роль на земле, пусть самую скромную и незаметную, тогда лишь мы будем счастливы. Тогда лишь мы сможем жить и умирать спокойно, ибо то, что дает смысл жизни, дает и смысл смерти."
Бессмысленно продолжать делать то же самое и ждать других результатов.,Бессмысленно продолжать делать то же самое и ждать других результатов.
"Благородный думает о должном. Низкий человек думает о том, что выгодно.","Благородный думает о должном. Низкий человек думает о том, что выгодно."
"Всегда честно признавай свои ошибки, это притупит бдительность начальства и позволит тебе натворить новые.","Всегда честно признавай свои ошибки, это притупит бдительность начальства и позволит тебе натворить новые."
"С людьми тяжело, без них — невыносимо.","С людьми тяжело, без них — невыносимо."
"В древности люди учились для того, чтобы совершенствовать себя. Нынче учатся для того, чтобы удивить других.","В древности люди учились для того, чтобы совершенствовать себя. Нынче учатся для того, чтобы удивить других."
"В мире был всего один христианин, люди его осудили и казнили.","В мире был всего один христианин, люди его осудили и казнили."
"Но какая в том польза, даже если знаешь, что другой прав? Разум дан человеку, чтобы он понял: жить одним разумом нельзя. Люди живут чувствами, а для чувств безразлично, кто прав.","Но какая в том польза, даже если знаешь, что другой прав? Разум дан человеку, чтобы он понял: жить одним разумом нельзя. Люди живут чувствами, а для чувств безразлично, кто прав."
"Толстой сказал, что смерти нет, а есть любовь и память сердца. Память сердца так мучительна, лучше бы ее не было... Лучше бы память навсегда убить.","Толстой сказал, что смерти нет, а есть любовь и память сердца. Память сердца так мучительна, лучше бы ее не было... Лучше бы память навсегда убить."
"Я как старая пальма на вокзале - никому не нужна, а выбросить жалко.","Я как старая пальма на вокзале - никому не нужна, а выбросить жалко."
"Судьба не дура, зря людей сводить не станет...","Судьба не дура, зря людей сводить не станет..."
"В мир пришёл я, но не было небо встревожено.
Умер я, но сиянье светил не умножено.
И никто не сказал мне — зачем я рождён,
И зачем моя жизнь второпях уничтожена.","В мир пришёл я, но не было небо встревожено.
Умер я, но сиянье светил не умножено.
И никто не сказал мне — зачем я рождён,
И зачем моя жизнь второпях уничтожена."
"Истина, даже старая, приходя к человеку впервые, кажется ему открытием.","Истина, даже старая, приходя к человеку впервые, кажется ему открытием."
"Нельзя забыть того первого человека, который стал нуждаться в тебе.","Нельзя забыть того первого человека, который стал нуждаться в тебе."
"Я вас, люди, не понимаю. Если вы любите кого-то, вы боитесь, чтоб он узнал об этом. Но когда оказывается, что вы ему тоже небезразличны, вы жалеете о потерянном времени. А если завтра ваша планета взорвется?","Я вас, люди, не понимаю. Если вы любите кого-то, вы боитесь, чтоб он узнал об этом. Но когда оказывается, что вы ему тоже небезразличны, вы жалеете о потерянном времени. А если завтра ваша планета взорвется?"
"Возможно, Бог хочет, чтобы мы встречали не тех людей до того, как встретим того единственного человека. Чтобы, когда это случится, мы были благодарны.","Возможно, Бог хочет, чтобы мы встречали не тех людей до того, как встретим того единственного человека. Чтобы, когда это случится, мы были благодарны."
"Как можно быть таким наивным простаком -
Ждать пира, позабыв о кошельке пустом.","Как можно быть таким наивным простаком -
Ждать пира, позабыв о кошельке пустом."
Не суди о человеке по его друзьям. У Иуды они были безупречны.,Не суди о человеке по его друзьям. У Иуды они были безупречны.
"Патриот это тот, что кричит громче всех, не зная из-за чего собственно крик.","Патриот это тот, что кричит громче всех, не зная из-за чего собственно крик."
"Тот, кто сказал, что время лечит все раны, солгал... Время помогает только научиться перенести удар, а потом жить с этими ранами.","Тот, кто сказал, что время лечит все раны, солгал... Время помогает только научиться перенести удар, а потом жить с этими ранами."
"Если вы заметили, что вы на стороне большинства - это верный признак того, что пора меняться.","Если вы заметили, что вы на стороне большинства - это верный признак того, что пора меняться."
"Если нас не уважают, мы жестоко оскорблены; а ведь в глубине души никто по-настоящему себя не уважает.","Если нас не уважают, мы жестоко оскорблены; а ведь в глубине души никто по-настоящему себя не уважает."
"Благородный, привязанный к домашнему уюту, не достоин зваться таковым.","Благородный, привязанный к домашнему уюту, не достоин зваться таковым."
"Каждая мечта дается тебе вместе с силами, необходимыми для ее осуществления. Однако тебе, возможно, придется ради этого потрудиться.","Каждая мечта дается тебе вместе с силами, необходимыми для ее осуществления. Однако тебе, возможно, придется ради этого потрудиться."
"Никогда и ничего не просите! Никогда и ничего, и в особенности у тех, кто сильнее вас. Сами предложат и сами всё дадут!","Никогда и ничего не просите! Никогда и ничего, и в особенности у тех, кто сильнее вас. Сами предложат и сами всё дадут!"
"Все люди лгут, но это не страшно, никто друг друга не слушает.","Все люди лгут, но это не страшно, никто друг друга не слушает."
"Стареть скучно, но это единственный способ жить долго.","Стареть скучно, но это единственный способ жить долго."
"Не оплакивай, смертный, вчерашних потерь,
Дел сегодняшних завтрашней меркой не мерь,
Ни былой, ни грядущей минуте не верь,
Верь минуте текущей — будь счастлив теперь!","Не оплакивай, смертный, вчерашних потерь,
Дел сегодняшних завтрашней меркой не мерь,
Ни былой, ни грядущей минуте не верь,
Верь минуте текущей — будь счастлив теперь!"
"Женщина, которую пожелал другой мужчина, тут же становится нам дороже. Уж так водится, что на человека гораздо больше влияют относительные ценности, чем абсолютные.","Женщина, которую пожелал другой мужчина, тут же становится нам дороже. Уж так водится, что на человека гораздо больше влияют относительные ценности, чем абсолютные."
"Чтобы привлечь что-то в свою жизнь, представь, что оно там уже есть.","Чтобы привлечь что-то в свою жизнь, представь, что оно там уже есть."
"Всю жизнь я страшно боюсь глупых. Особенно баб. Никогда не знаешь, как с ними разговаривать, не скатываясь на их уровень.","Всю жизнь я страшно боюсь глупых. Особенно баб. Никогда не знаешь, как с ними разговаривать, не скатываясь на их уровень."
"Все мы гении. Но если вы будете судить рыбу по её способности взбираться на дерево, она проживёт всю жизнь, считая себя дурой.","Все мы гении. Но если вы будете судить рыбу по её способности взбираться на дерево, она проживёт всю жизнь, считая себя дурой."
"Я знаю этот вид напыщенных ослов:
Пусты, как барабан, а сколько громких слов!
Они — рабы имён. Составь себе лишь имя,
И ползать пред тобой любой из них готов.","Я знаю этот вид напыщенных ослов:
Пусты, как барабан, а сколько громких слов!
Они — рабы имён. Составь себе лишь имя,
И ползать пред тобой любой из них готов."
"Всегда найдутся люди, которым хуже тебя.","Всегда найдутся люди, которым хуже тебя."
"То, что не убивает нас, делает нас сильнее!","То, что не убивает нас, делает нас сильнее!"
Доброта и ум — свойства старости. В двадцать лет женщине куда интересней быть бессердечной и легкомысленной.,Доброта и ум — свойства старости. В двадцать лет женщине куда интересней быть бессердечной и легкомысленной.
"Кто ничего не ждет, никогда не будет разочарован. Вот хорошее правило жизни. Тогда все, что придет потом, покажется вам приятной неожиданностью.","Кто ничего не ждет, никогда не будет разочарован. Вот хорошее правило жизни. Тогда все, что придет потом, покажется вам приятной неожиданностью."
"На голодный желудок русский человек ничего делать и думать не хочет, а на сытый — не может.","На голодный желудок русский человек ничего делать и думать не хочет, а на сытый — не может."
Ах! Злые языки страшнее пистолета.,Ах! Злые языки страшнее пистолета.
"Несколько извинений выглядят менее убедительно, чем одно.","Несколько извинений выглядят менее убедительно, чем одно."
"Каждый человек способен на многое. Но, к сожалению, не каждый знает, на что он способен...","Каждый человек способен на многое. Но, к сожалению, не каждый знает, на что он способен..."
"Чем за общее счастье без толку страдать —
Лучше счастье кому-нибудь близкому дать.
Лучше друга к себе привязать добротою,
Чем от пут человечество освобождать.","Чем за общее счастье без толку страдать —
Лучше счастье кому-нибудь близкому дать.
Лучше друга к себе привязать добротою,
Чем от пут человечество освобождать."
"Если есть у тебя для жилья закуток —
В наше подлое время — и хлеба кусок,
Если ты никому не слуга, не хозяин —
Счастлив ты и воистину духом высок.","Если есть у тебя для жилья закуток —
В наше подлое время — и хлеба кусок,
Если ты никому не слуга, не хозяин —
Счастлив ты и воистину духом высок."
"Себя судить куда труднее, чем других. Если ты сумеешь правильно судить себя, значит, ты поистине мудр.","Себя судить куда труднее, чем других. Если ты сумеешь правильно судить себя, значит, ты поистине мудр."
"Человек готов сделать многое, чтобы его полюбили, и он сделает еще больше, чтобы вызвать зависть.","Человек готов сделать многое, чтобы его полюбили, и он сделает еще больше, чтобы вызвать зависть."
"Лучше умереть, когда хочется жить, чем дожить до того момента, когда захочется умереть.","Лучше умереть, когда хочется жить, чем дожить до того момента, когда захочется умереть."
"Когда уходите на пять минут,
Не забывайте оставлять тепло в ладонях.
В ладонях тех, которые вас ждут,
В ладонях тех, которые вас помнят...","Когда уходите на пять минут,
Не забывайте оставлять тепло в ладонях.
В ладонях тех, которые вас ждут,
В ладонях тех, которые вас помнят..."
"Полезнее знать несколько мудрых правил, которые всегда могли бы служить тебе, чем выучиться многим вещам, для тебя бесполезным.","Полезнее знать несколько мудрых правил, которые всегда могли бы служить тебе, чем выучиться многим вещам, для тебя бесполезным."
"Если вы подберете на улице дворовую собаку и накормите ее, она никогда вас не укусит. В этом и состоит разница между собакой и человеком.","Если вы подберете на улице дворовую собаку и накормите ее, она никогда вас не укусит. В этом и состоит разница между собакой и человеком."
"Откуда мы пришли? Куда свой путь вершим?
В чем нашей жизни смысл? Он нам непостижим.","Откуда мы пришли? Куда свой путь вершим?
В чем нашей жизни смысл? Он нам непостижим."
"Если ты не рассказываешь окружающим о своих проблемах, значит, не любишь вникать и в их проблемы.","Если ты не рассказываешь окружающим о своих проблемах, значит, не любишь вникать и в их проблемы."
"Я убежден, что убийство под предлогом войны не перестает быть убийством.","Я убежден, что убийство под предлогом войны не перестает быть убийством."
Мне всегда было непонятно - люди стыдятся бедности и не стыдятся богатства.,Мне всегда было непонятно - люди стыдятся бедности и не стыдятся богатства.
"Если у тебя есть человек, которому можно рассказать сны, ты не имеешь права считать себя одиноким...","Если у тебя есть человек, которому можно рассказать сны, ты не имеешь права считать себя одиноким..."
"Живя настоящим, мы творим свое будущее.","Живя настоящим, мы творим свое будущее."
"Живи так, чтобы никогда не было стыдно, если что-то, что ты делаешь или говоришь, станет известно всему свету, — даже если то, что станет известно, будет неправдой.","Живи так, чтобы никогда не было стыдно, если что-то, что ты делаешь или говоришь, станет известно всему свету, — даже если то, что станет известно, будет неправдой."
"Родиться глупым не стыдно, стыдно только умирать глупцом.","Родиться глупым не стыдно, стыдно только умирать глупцом."
Всегда поступай правильно. Это доставит удовольствие некоторым людям и удивит всех прочих.,Всегда поступай правильно. Это доставит удовольствие некоторым людям и удивит всех прочих.
Будь счастлив в этот миг. Этот миг и есть твоя жизнь.,Будь счастлив в этот миг. Этот миг и есть твоя жизнь.
"Чем старше становится человек, тем больше он противится переменам, особенно переменам к лучшему.","Чем старше становится человек, тем больше он противится переменам, особенно переменам к лучшему."
