Question,Answer
"Какая польза от того, что знаешь цель и смысл жизни, если не ощущал её вкус? Лучше есть пирог, чем рассуждать о нём.","Какая польза от того, что знаешь цель и смысл жизни, если не ощущал её вкус? Лучше есть пирог, чем рассуждать о нём."
"Мы легко прощаем тех, с кем нам скучно, но никогда не прощаем тех, кому скучно с нами.","Мы легко прощаем тех, с кем нам скучно, но никогда не прощаем тех, кому скучно с нами."
Видеть несправедливость и молчать — это значит самому участвовать в ней.,Видеть несправедливость и молчать — это значит самому участвовать в ней.
"Мало кто мыслит больше, чем два или три раза в год; я стал всемирно известен благодаря тому, что мыслю раз или два раза в неделю.","Мало кто мыслит больше, чем два или три раза в год; я стал всемирно известен благодаря тому, что мыслю раз или два раза в неделю."
"Когда я слушаю музыку, мне часто представляется, что жизнь всех людей и моя собственная суть сновидения некоего вечного духа и что смерть есть пробуждение.","Когда я слушаю музыку, мне часто представляется, что жизнь всех людей и моя собственная суть сновидения некоего вечного духа и что смерть есть пробуждение."
"Люди делятся на праведников, которые считают себя грешниками, и грешников, которые считают себя праведниками.","Люди делятся на праведников, которые считают себя грешниками, и грешников, которые считают себя праведниками."
"Серьёзные, действительно важные жизненные решения не бывают правильными или неправильными, просто начинается другая жизнь.","Серьёзные, действительно важные жизненные решения не бывают правильными или неправильными, просто начинается другая жизнь."
"Две жизни прожить не дано, два счастья — затея пустая,
из двух выпадает одно, такая уж правда простая.","Две жизни прожить не дано, два счастья — затея пустая,
из двух выпадает одно, такая уж правда простая."
"Если у человека нет цели, то жизнь его есть не что иное, как продолжительная смерть.","Если у человека нет цели, то жизнь его есть не что иное, как продолжительная смерть."
"Если ты не можешь изменить мир, измени отношение к этому миру.","Если ты не можешь изменить мир, измени отношение к этому миру."
"Не удивительно ли, что люди так часто воюют за религию и так редко живут по её предписанию?","Не удивительно ли, что люди так часто воюют за религию и так редко живут по её предписанию?"
"Кто скуп на подарки, тот щедр на обещания.","Кто скуп на подарки, тот щедр на обещания."
"Некоторые отношения напоминают карточный домик, где стены поддерживают друг друга: уберите одного партнера – и второй падает.","Некоторые отношения напоминают карточный домик, где стены поддерживают друг друга: уберите одного партнера – и второй падает."
"Не говори своему другу того, что не должен знать твой враг.","Не говори своему другу того, что не должен знать твой враг."
"Давайте признаемся себе в том, что старый добрый шоколадный торт помогает людям жить; мне он точно помогает.","Давайте признаемся себе в том, что старый добрый шоколадный торт помогает людям жить; мне он точно помогает."
Это наша пустота опустошает мир.,Это наша пустота опустошает мир.
"Вбирай все мненья, но храни своё.","Вбирай все мненья, но храни своё."
"Так легко найти то, что потеряли другие, но никогда не найдёшь того, что было потеряно лично.","Так легко найти то, что потеряли другие, но никогда не найдёшь того, что было потеряно лично."
"Индейцы считали, что люди заболевают от несбывшихся желаний.","Индейцы считали, что люди заболевают от несбывшихся желаний."
"Жить на Земле, возможно, дороговато, зато вы получаете ежегодный бесплатный круиз вокруг Солнца.","Жить на Земле, возможно, дороговато, зато вы получаете ежегодный бесплатный круиз вокруг Солнца."
"Без героев мы были бы обычными людьми и не знали бы, на что способны.","Без героев мы были бы обычными людьми и не знали бы, на что способны."
"Мы сваливать не вправе
Вину свою на жизнь.
Кто едет -тот и правит,
Поехал - так держись!","Мы сваливать не вправе
Вину свою на жизнь.
Кто едет -тот и правит,
Поехал - так держись!"
"Человеку, который долго говорит о себе, трудно избежать тщеславия.","Человеку, который долго говорит о себе, трудно избежать тщеславия."
Проснуться счастливым — большое достижение в жизни.,Проснуться счастливым — большое достижение в жизни.
"Многие наши беды объясняются тем, что мы слишком быстро говорим «да» и не слишком быстро — «нет».","Многие наши беды объясняются тем, что мы слишком быстро говорим «да» и не слишком быстро — «нет»."
"Лишь мелкие люди вечно взвешивают, что следует уважать, а что — любить. Человек истинно большой души, не задумываясь, любит всё, что достойно уважения.","Лишь мелкие люди вечно взвешивают, что следует уважать, а что — любить. Человек истинно большой души, не задумываясь, любит всё, что достойно уважения."
"Когда деньги есть, как-то легче согласиться, что не в них счастье.","Когда деньги есть, как-то легче согласиться, что не в них счастье."
"Свои способности человек может узнать, только попытавшись применить их на деле.","Свои способности человек может узнать, только попытавшись применить их на деле."
"Я не был в жизни счастлив ни минуты.
Все было у меня не по-людски.
Любой мой шаг опутывали путы
Самосознанья, страха и тоски.","Я не был в жизни счастлив ни минуты.
Все было у меня не по-людски.
Любой мой шаг опутывали путы
Самосознанья, страха и тоски."
"Жизнь — как вождение велосипеда. Чтобы сохранить равновесие, ты должен двигаться.","Жизнь — как вождение велосипеда. Чтобы сохранить равновесие, ты должен двигаться."
"Обычаи более важны, чем законы, ибо именно от них законы зависят.","Обычаи более важны, чем законы, ибо именно от них законы зависят."
"И только смельчаки, обладающие незаурядной отвагой и верой в свои силы, основанной, конечно, на действительном обладании этими силами, способны бесстрашно смотреть жизни в лицо.","И только смельчаки, обладающие незаурядной отвагой и верой в свои силы, основанной, конечно, на действительном обладании этими силами, способны бесстрашно смотреть жизни в лицо."
"Клевета наносит удары обыкновенно достойным людям, так черви предпочтительно набрасываются на лучшие фрукты.","Клевета наносит удары обыкновенно достойным людям, так черви предпочтительно набрасываются на лучшие фрукты."
"Жизнь имеет высокую цену, лишь если ты готов легко с нею расстаться.","Жизнь имеет высокую цену, лишь если ты готов легко с нею расстаться."
"Скромен не тот, кто равнодушен к похвалам, а тот, кто внимателен к порицаниям.","Скромен не тот, кто равнодушен к похвалам, а тот, кто внимателен к порицаниям."
"Иногда думаешь, что все хорошо, а кто-то уже роет тебе могилу...","Иногда думаешь, что все хорошо, а кто-то уже роет тебе могилу..."
Февраль. Достать чернил и плакать!,Февраль. Достать чернил и плакать!
"Помните, кто вы, и идите дальше.","Помните, кто вы, и идите дальше."
"Не будь расточителен, не будешь нуждаться.","Не будь расточителен, не будешь нуждаться."
"Всякого добра на свете хоть завались, а у большинства людей ни черта нет. Вот уже несколько тысяч лет, как все дело именно в этом.","Всякого добра на свете хоть завались, а у большинства людей ни черта нет. Вот уже несколько тысяч лет, как все дело именно в этом."
"Богатым быть лучше, чем мудрым, потому что приходится видеть, как мудрецы постоянно торчат у дверей богатых.","Богатым быть лучше, чем мудрым, потому что приходится видеть, как мудрецы постоянно торчат у дверей богатых."
"Нет ничего более близкого к жизни, чем музыка.","Нет ничего более близкого к жизни, чем музыка."
"Леди Астор:
— Если бы я была вашей женой, Уинстон, то подсыпала бы вам яд в кофе.
Черчилль:
— А если бы я был вашим мужем, то выпил бы его.","Леди Астор:
— Если бы я была вашей женой, Уинстон, то подсыпала бы вам яд в кофе.
Черчилль:
— А если бы я был вашим мужем, то выпил бы его."
"Любить войну могут только спекулянты, генералы, штабные крысы и проститутки.","Любить войну могут только спекулянты, генералы, штабные крысы и проститутки."
"Ваше лицо в двадцать лет дано вам природой; каким оно будет в пятьдесят, зависит от вас.","Ваше лицо в двадцать лет дано вам природой; каким оно будет в пятьдесят, зависит от вас."
"Ты можешь отстраняться от страданий мира, это тебе разрешается и соответствует твоей природе, но, быть может, как раз это отстранение и есть единственное страдание, которого ты мог бы избежать.","Ты можешь отстраняться от страданий мира, это тебе разрешается и соответствует твоей природе, но, быть может, как раз это отстранение и есть единственное страдание, которого ты мог бы избежать."
"Родители иногда забывают, как они сами были детьми.","Родители иногда забывают, как они сами были детьми."
"Наибольшую опасность на дорогах представляет машина, которая едет быстрее, чем способен думать ее водитель.","Наибольшую опасность на дорогах представляет машина, которая едет быстрее, чем способен думать ее водитель."
"Тот, кто воображает, что может обойтись без других людей, очень ошибается; но тот, кто воображает, что другие не смогут обойтись без него, ошибается ещё больше.","Тот, кто воображает, что может обойтись без других людей, очень ошибается; но тот, кто воображает, что другие не смогут обойтись без него, ошибается ещё больше."
"Самое важное — не обвинить кого-то в ошибке, а поскорее узнать, что же вызвало ошибку.","Самое важное — не обвинить кого-то в ошибке, а поскорее узнать, что же вызвало ошибку."
"Когда мы осмыслим свою роль на земле, пусть самую скромную и незаметную, тогда лишь мы будем счастливы. Тогда лишь мы сможем жить и умирать спокойно, ибо то, что дает смысл жизни, дает и смысл смерти.","Когда мы осмыслим свою роль на земле, пусть самую скромную и незаметную, тогда лишь мы будем счастливы. Тогда лишь мы сможем жить и умирать спокойно, ибо то, что дает смысл жизни, дает и смысл смерти."
"Но гибель не страшна герою,
Пока безумствует мечта!","Но гибель не страшна герою,
Пока безумствует мечта!"
Нельзя избежать боли. Это часть прелести быть живым.,Нельзя избежать боли. Это часть прелести быть живым.
Секс грязен? Разве только если не мыться.,Секс грязен? Разве только если не мыться.
"Чего не сделает страх с человеком, если только у этого человека душонка жиденькая, на тонких, комариных ножках!","Чего не сделает страх с человеком, если только у этого человека душонка жиденькая, на тонких, комариных ножках!"
"Если нет своей цели в жизни, то приходится работать на того, у кого она есть.","Если нет своей цели в жизни, то приходится работать на того, у кого она есть."
"Кто слишком часто оглядывается назад, легко может споткнуться и упасть.","Кто слишком часто оглядывается назад, легко может споткнуться и упасть."
"Теперь я знаю: счастливы все, кто здоров. Только пока ты здоров, этого не замечаешь. А потом, когда поправишься, опять всё забудешь. Но по-настоящему это можно осознать лишь перед смертью.","Теперь я знаю: счастливы все, кто здоров. Только пока ты здоров, этого не замечаешь. А потом, когда поправишься, опять всё забудешь. Но по-настоящему это можно осознать лишь перед смертью."
"Мне говорят, что я своими утверждениями хочу перевернуть мир вверх дном. Но разве было бы плохо перевернуть перевернутый мир?","Мне говорят, что я своими утверждениями хочу перевернуть мир вверх дном. Но разве было бы плохо перевернуть перевернутый мир?"
"Хочешь знать, что говорят о тебе знакомые? Послушай, что они говорят о людях, которые лучше тебя.","Хочешь знать, что говорят о тебе знакомые? Послушай, что они говорят о людях, которые лучше тебя."
"Разве можно убедить людей, когда ты их раздражаешь?","Разве можно убедить людей, когда ты их раздражаешь?"
"Смысл жизни не в том, чтобы удовлетворять желания, а в том, чтобы их иметь.","Смысл жизни не в том, чтобы удовлетворять желания, а в том, чтобы их иметь."
"То, что для одного вера, для другого — безумие.","То, что для одного вера, для другого — безумие."
"Всякая жизнь, посвященная погоне за деньгами, — это смерть. Воскрешение — в бескорыстии.","Всякая жизнь, посвященная погоне за деньгами, — это смерть. Воскрешение — в бескорыстии."
Избежать ошибок не может никто. Однако никто не обязан повторять одну и ту же ошибку.,Избежать ошибок не может никто. Однако никто не обязан повторять одну и ту же ошибку.
"Если жизнь не меняется к лучшему, подожди — она изменится к худшему.","Если жизнь не меняется к лучшему, подожди — она изменится к худшему."
"Каждый человек ищет истину, но только одному Богу известно, кто ее нашел.","Каждый человек ищет истину, но только одному Богу известно, кто ее нашел."
"Жить с женой — дело нелёгкое, но жизнь без неё вообще невозможна.","Жить с женой — дело нелёгкое, но жизнь без неё вообще невозможна."
"Для того, чтобы начать жить, придётся сначала научиться отказываться от жизни.","Для того, чтобы начать жить, придётся сначала научиться отказываться от жизни."
"Я вас, люди, не понимаю. Если вы любите кого-то, вы боитесь, чтоб он узнал об этом. Но когда оказывается, что вы ему тоже небезразличны, вы жалеете о потерянном времени. А если завтра ваша планета взорвется?","Я вас, люди, не понимаю. Если вы любите кого-то, вы боитесь, чтоб он узнал об этом. Но когда оказывается, что вы ему тоже небезразличны, вы жалеете о потерянном времени. А если завтра ваша планета взорвется?"
"Скука является результатом машинальной жизни, но она же приводит в движение сознание.","Скука является результатом машинальной жизни, но она же приводит в движение сознание."
"Глупцы не понимают, что рано или поздно все то, чем они так страждут обладать, будет обладать ими.","Глупцы не понимают, что рано или поздно все то, чем они так страждут обладать, будет обладать ими."
"Люди боятся смерти намного больше, чем боли. Это странно, что они боятся смерти. Жизнь приносит намного больше боли, чем смерть. После смерти же уже не больно.","Люди боятся смерти намного больше, чем боли. Это странно, что они боятся смерти. Жизнь приносит намного больше боли, чем смерть. После смерти же уже не больно."
"Есть секунды куда значительнее, чем века.","Есть секунды куда значительнее, чем века."
"День за днём, декада за декадой бродим по шею в тоскливых мелочах...","День за днём, декада за декадой бродим по шею в тоскливых мелочах..."
"Если вы заметили, что вы на стороне большинства - это верный признак того, что пора меняться.","Если вы заметили, что вы на стороне большинства - это верный признак того, что пора меняться."
"С того времени, как я стал во главе государства, я советовался только с самим собой, и это меня вполне устраивало; совершать ошибки я начал только тогда, когда стал прислушиваться к тому, что говорят советники.","С того времени, как я стал во главе государства, я советовался только с самим собой, и это меня вполне устраивало; совершать ошибки я начал только тогда, когда стал прислушиваться к тому, что говорят советники."
"От человека, которого невозможно развеселить, добрых дел ждать не приходится.","От человека, которого невозможно развеселить, добрых дел ждать не приходится."
"Надлежит законы и указы писать явно, чтоб их не перетолковать.","Надлежит законы и указы писать явно, чтоб их не перетолковать."
"Никогда и ничего не просите! Никогда и ничего, и в особенности у тех, кто сильнее вас. Сами предложат и сами всё дадут!","Никогда и ничего не просите! Никогда и ничего, и в особенности у тех, кто сильнее вас. Сами предложат и сами всё дадут!"
Проснуться в полном одиночестве в незнакомом городе — одно из самых приятных в мире ощущений.,Проснуться в полном одиночестве в незнакомом городе — одно из самых приятных в мире ощущений.
"Коль горе чужое тебя не заставит страдать,
Возможно ль тебя человеком тогда называть?","Коль горе чужое тебя не заставит страдать,
Возможно ль тебя человеком тогда называть?"
"Если человек верит иначе, чем мы, мы называем его чудаком, и на этом конец. Думаю, так происходит лишь потому, что в наше время сжечь его мы не можем.","Если человек верит иначе, чем мы, мы называем его чудаком, и на этом конец. Думаю, так происходит лишь потому, что в наше время сжечь его мы не можем."
"Дружба людей порочных ненадежна: она длится до той лишь поры, покуда служит к взаимной выгоде.","Дружба людей порочных ненадежна: она длится до той лишь поры, покуда служит к взаимной выгоде."
"Если всё будет так, как тебе хочется, то жить станет неинтересно.","Если всё будет так, как тебе хочется, то жить станет неинтересно."
"Убийство и насилие — аргументы деспотизма, это подлые аргументы — и бессильные, ибо изнасиловать чужую волю, убить человека не значит, никогда не значит убить идею, доказать неправоту мысли, ошибочность мнения.","Убийство и насилие — аргументы деспотизма, это подлые аргументы — и бессильные, ибо изнасиловать чужую волю, убить человека не значит, никогда не значит убить идею, доказать неправоту мысли, ошибочность мнения."
"Сам черт не разберет, отчего у нас быстрее подвигаются те, которые идут назад.","Сам черт не разберет, отчего у нас быстрее подвигаются те, которые идут назад."
"Есть множество произведений, которыми мы восхищаемся, так сказать, по доверию, оттого что все восхищаются ими и никто до сих пор не догадался или не посмел сказать, что они бездарны.","Есть множество произведений, которыми мы восхищаемся, так сказать, по доверию, оттого что все восхищаются ими и никто до сих пор не догадался или не посмел сказать, что они бездарны."
У людей упрямых и необузданных из пустяков часто вырастают весьма крупные последствия.,У людей упрямых и необузданных из пустяков часто вырастают весьма крупные последствия.
"Сон реален, пока он продолжается. Можно ли больше сказать о жизни?","Сон реален, пока он продолжается. Можно ли больше сказать о жизни?"
"Опыт – это то, что приобретаешь, когда не получаешь желаемого. Он очень часто является самым ценным вашим приобретением.","Опыт – это то, что приобретаешь, когда не получаешь желаемого. Он очень часто является самым ценным вашим приобретением."
"Как только окончательно утратишь бесценную способность чувствовать себя идиотом, можешь считать, что жизнь практически закончена.","Как только окончательно утратишь бесценную способность чувствовать себя идиотом, можешь считать, что жизнь практически закончена."
"Ключи от счастья – это мечты, воплотившиеся в жизнь.","Ключи от счастья – это мечты, воплотившиеся в жизнь."
"Ненависть не решает никаких проблем, она только создает их.","Ненависть не решает никаких проблем, она только создает их."
Перспективу птичьего полета заменили перспективой лягушки.,Перспективу птичьего полета заменили перспективой лягушки.
"Человек должен сам решать свои проблемы, если собирается оставаться хозяином своей жизни.","Человек должен сам решать свои проблемы, если собирается оставаться хозяином своей жизни."
"Я чужд надменной укоризне,
Весьма прекрасна жизнь того,
Кто обретает смысл жизни
В напрасных поисках его.","Я чужд надменной укоризне,
Весьма прекрасна жизнь того,
Кто обретает смысл жизни
В напрасных поисках его."
"Самовоспитание — это не что-то вспомогательное в воспитании, а его фундамент. Никто не сможет воспитать человека, если он сам себя не воспитывает.","Самовоспитание — это не что-то вспомогательное в воспитании, а его фундамент. Никто не сможет воспитать человека, если он сам себя не воспитывает."
"С точки зрения спроса и предложения, жизнь — самая дешевая вещь на свете.","С точки зрения спроса и предложения, жизнь — самая дешевая вещь на свете."
